id,Boss_id,name,image,HP,HP_phases,Locations & Drops,blockquote,dlc_x,Location_id,dlc_y
91,boss_25,Erdtree Avatar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/erdtree-avatar-weeping-peninsula-elden-rink-wiki-guide-1-small.jpg,,,"{'Minor Erdtree (Weeping Peninsula)': ['Runes 4,500 (NG)', 'Runes 3,600 (NG, Co-op Host)', 'Runes 930 (NG, Co-op Phantom)', 'Opaline Bubbletear', 'Crimsonburst Crystal Tear'], 'Minor Erdtree (Liurnia Southwest):': ['5,800', 'Cerulean Crystal Tear', 'Ruptured Crystal Tear'], 'Minor Erdtree (Liurnia Northeast):': ['5,800', 'Holy-Shrouding Cracked Tear', 'Lightning-Shrouding Cracked Tear', 'Magic-Shrouding Cracked Tear'], 'Leyndell, Royal Capital': ['10,062', ""Lord's Rune""], 'Deeproot Depths:': ['10,621', 'Staff of the Avatar'], 'Minor Erdtree (Mountaintops East):': ['70,000 (NG)', '52,500 (NG, Co-op Host)', '17,500 (NG, Co-op Phantom)', 'Cerulean Crystal Tear', 'Crimson Bubbletear']}",,0,loc_1,0
91,boss_130,Erdtree Avatar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/erdtree-avatar-weeping-peninsula-elden-rink-wiki-guide-1-small.jpg,,,"{'Minor Erdtree (Weeping Peninsula)': ['Runes 4,500 (NG)', 'Runes 3,600 (NG, Co-op Host)', 'Runes 930 (NG, Co-op Phantom)', 'Opaline Bubbletear', 'Crimsonburst Crystal Tear'], 'Minor Erdtree (Liurnia Southwest):': ['5,800', 'Cerulean Crystal Tear', 'Ruptured Crystal Tear'], 'Minor Erdtree (Liurnia Northeast):': ['5,800', 'Holy-Shrouding Cracked Tear', 'Lightning-Shrouding Cracked Tear', 'Magic-Shrouding Cracked Tear'], 'Leyndell, Royal Capital': ['10,062', ""Lord's Rune""], 'Deeproot Depths:': ['10,621', 'Staff of the Avatar'], 'Minor Erdtree (Mountaintops East):': ['70,000 (NG)', '52,500 (NG, Co-op Host)', '17,500 (NG, Co-op Phantom)', 'Cerulean Crystal Tear', 'Crimson Bubbletear']}",,0,loc_9,0
92,boss_33,"Alecto, Black Knife Ringleader",http://eldenring.wiki.fextralife.com/file/Elden-Ring/alecto_black_knife_ringleader_bosses_elden_ring_wiki_guide_300px.jpg,"17,482",,"{""Ringleader's Evergaol"": ['88,000', 'Black Knife Tiche']}","The assassins who carried out the deed were scions of the Eternal City. A group entirely of women, arrayed in armour of silver under cloaks which fooled the eye. ",0,loc_2,0
93,boss_11,Grave Warden Duelist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave-warden-duelist-2-small1-min.jpg,,,"{'Murkwater Catacombs:': ['1,700', 'Banished Knight Engvall Ashes'], 'Auriza Side Tomb:': ['15,000', 'Soldjars of Fortune Ashes']}",Duelists who were exiled from the colosseum. ,0,loc_0,0
93,boss_120,Grave Warden Duelist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave-warden-duelist-2-small1-min.jpg,,,"{'Murkwater Catacombs:': ['1,700', 'Banished Knight Engvall Ashes'], 'Auriza Side Tomb:': ['15,000', 'Soldjars of Fortune Ashes']}",Duelists who were exiled from the colosseum. ,0,loc_7,0
94,boss_39,Cleanrot Knight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cleanrot_knight_bosses_elden_ring_wiki_guide1-min.jpg,,,"{'Stillwater Cave': ['2,475 Runes (NG)', '825 Runes (NG, Co-op)', 'Winged Sword Insignia', ""Cleanrot Knight's Sword""], 'Abandoned Cave:': ['7,000', 'Gold Scarab']}","The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all. ",0,loc_2,0
95,boss_52,Omenkiller,http://eldenring.wiki.fextralife.com/file/Elden-Ring/omenkiller-3-elden-ring-wiki-guide.jpg,"2,306",,"{'Village of the Albinaurics': ['4,900', 'Crucible Knot Talisman']}",,0,loc_2,0
96,,Spiritcaller Snail,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spirit-caller_snail_elden_ring_wiki_guide_300px.jpg,,,"{""Road's End Catacombs"": ['2,250 Runes (NG)', '750 Runes (NG, Co-op)', 'Glintstone Sorcerer Ashes'], ""Spiritcaller's Cave:"": ['70,000', 'Black Flame Ritual', 'Godskin Swaddling Cloth']}","A strange snail-like creature that gives off a pale glow. While weak on their own, they summon forth spirits from beyond to fight on their behalf. But once the snail dies, the spirit will vanish. ",0,,
97,boss_99,Perfumer Tricia and Misbegotten Warrior,http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumer-tricia-1-elden-ring-wiki-guide.jpg,,,,"Tricia was once known as a healer who dedicated her efforts to treating Misbegotten, Omen, and all those seen as impure. When her efforts failed, she was their companion as they died, watching over them to ensure that they could pass peacefully, free of pain. ",0,loc_5,0
98,boss_21,Ulcerated Tree Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ulcerated_tree_spirit1-min.jpg,,,"{""Fringefolk Hero's Grave"": ['15,000', 'Golden Seed', 'Banished Knight Oleg'], 'Stormveil Castle': ['4,736', 'Golden Seed'], 'Minor Erdtree (Mt. Gelmir)': ['18,000', 'Leaden Hardtear', 'Cerulean Hidden Tear'], 'Capital Outskirts': ['8,820', 'Golden Seed'], 'Leyndell Royal Capital': ['9,828', 'Golden Seed'], ""Giants' Mountaintop Catacombs:"": ['48,000', 'Golden Seed', ""Glovewort Picker's Bell Bearing [2]""], 'Leyndell\xa0Ashen Capital': ['18,749 each'], 'Belurat, Tower Settlement': ['18,346', 'Immunizing Horn Charm +2'], 'Ellac River': ['18,522', 'Horned Bairn'], 'Church District': ['22,218', 'Iris of Occultation (Rotunda)', 'Mantle of Thorns (Courtyard)']}",,0,loc_0,0
98,boss_114,Ulcerated Tree Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ulcerated_tree_spirit1-min.jpg,,,"{""Fringefolk Hero's Grave"": ['15,000', 'Golden Seed', 'Banished Knight Oleg'], 'Stormveil Castle': ['4,736', 'Golden Seed'], 'Minor Erdtree (Mt. Gelmir)': ['18,000', 'Leaden Hardtear', 'Cerulean Hidden Tear'], 'Capital Outskirts': ['8,820', 'Golden Seed'], 'Leyndell Royal Capital': ['9,828', 'Golden Seed'], ""Giants' Mountaintop Catacombs:"": ['48,000', 'Golden Seed', ""Glovewort Picker's Bell Bearing [2]""], 'Leyndell\xa0Ashen Capital': ['18,749 each'], 'Belurat, Tower Settlement': ['18,346', 'Immunizing Horn Charm +2'], 'Ellac River': ['18,522', 'Horned Bairn'], 'Church District': ['22,218', 'Iris of Occultation (Rotunda)', 'Mantle of Thorns (Courtyard)']}",,0,loc_6,0
98,boss_133,Ulcerated Tree Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ulcerated_tree_spirit1-min.jpg,,,"{""Fringefolk Hero's Grave"": ['15,000', 'Golden Seed', 'Banished Knight Oleg'], 'Stormveil Castle': ['4,736', 'Golden Seed'], 'Minor Erdtree (Mt. Gelmir)': ['18,000', 'Leaden Hardtear', 'Cerulean Hidden Tear'], 'Capital Outskirts': ['8,820', 'Golden Seed'], 'Leyndell Royal Capital': ['9,828', 'Golden Seed'], ""Giants' Mountaintop Catacombs:"": ['48,000', 'Golden Seed', ""Glovewort Picker's Bell Bearing [2]""], 'Leyndell\xa0Ashen Capital': ['18,749 each'], 'Belurat, Tower Settlement': ['18,346', 'Immunizing Horn Charm +2'], 'Ellac River': ['18,522', 'Horned Bairn'], 'Church District': ['22,218', 'Iris of Occultation (Rotunda)', 'Mantle of Thorns (Courtyard)']}",,0,loc_9,0
99,boss_108,Full-Grown Fallingstar Beast,http://eldenring.wiki.fextralife.com/file/Elden-Ring/full-grown-fallingstar-beast-1-elden-ring-wiki-guide.jpg,"13,010",,"{'Mt. Gelmir': ['21,000 Runes', '(NG)', '15,750 Runes (NG, Co-op Host)', '5,250 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Somber Smithing Stone [6] 1x', 'Smithing Stone [6] x5', 'Fallingstar Beast Jaw']}",,0,loc_6,0
100,boss_107,Demi-Human Queen Margot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/demi-human-queen-margot-boss-elden-ring-wiki-guide-300px-min.jpeg,"3,971",,"{'Volcano Cave': ['11,000', 'Jar Cannon']}",,0,loc_6,0
101,boss_106,Demi-Human Queen Maggie,http://eldenring.wiki.fextralife.com/file/Elden-Ring/demi-human-queen-maggie-boss-elden-ring-wiki-guide-300px-min.jpeg,"7,515",,"{'Hermit Village': ['13,000', 'Memory Stone', 'Golden Rune [1]']}",,0,loc_6,0
102,boss_53,Onyx Lord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/onyx-lord-1-elden-ring-wiki-guide.jpg,,,"{'Royal Grave Evergaol': ['3,600', 'Meteorite'], 'Sealed Tunnel': ['16,000', ""Onyx Lord's Greatsword""]}",A race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago. They were called lords in reverential fear of their destructive power. ,0,loc_2,0
102,boss_121,Onyx Lord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/onyx-lord-1-elden-ring-wiki-guide.jpg,,,"{'Royal Grave Evergaol': ['3,600', 'Meteorite'], 'Sealed Tunnel': ['16,000', ""Onyx Lord's Greatsword""]}",A race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago. They were called lords in reverential fear of their destructive power. ,0,loc_7,0
103,,Abductor Virgins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/abductor-virgins-1-elden-ring-wiki-guide.jpg,3811,"3,811 each","{'Volcano Manor': ['10,000', ""Inquisitor's Girandole""]}",,0,,
104,boss_32,"Adan, Thief of Fire",http://eldenring.wiki.fextralife.com/file/Elden-Ring/adan_thief_of_fire_bosses_elden_ring_wiki_guide1-min.jpg,"1,717",,"{""Malefactor's Evergaol"": ['3,800', 'Flame of the Fell God']}",The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire. ,0,loc_2,0
105,boss_53,Onyx Lord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/onyx-lord-1-elden-ring-wiki-guide.jpg,"4,058",,"{'Royal Grave Evergaol': ['3,600', 'Meteorite'], 'Sealed Tunnel': ['16,000', ""Onyx Lord's Greatsword""]}",A race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago. They were called lords in reverential fear of their destructive power. ,0,loc_2,0
105,boss_121,Onyx Lord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/onyx-lord-1-elden-ring-wiki-guide.jpg,"4,058",,"{'Royal Grave Evergaol': ['3,600', 'Meteorite'], 'Sealed Tunnel': ['16,000', ""Onyx Lord's Greatsword""]}",A race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago. They were called lords in reverential fear of their destructive power. ,0,loc_7,0
106,boss_85,Ancient Dragon Lansseax,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient-dragon-lansseax-elden-ring-wiki-guide1-min.jpg,"9,087",,"{'Altus Plateau': ['60,000', ""Lansseax's Glaive""]}",Lansseax was the sister of Fortissax. It is said that she took the form of a human to commune with the knights as a priestess of the ancient dragon cult. ,0,loc_5,0
107,boss_141,"Astel, Stars of Darkness",http://eldenring.wiki.fextralife.com/file/Elden-Ring/astel-stars-of-darkness-boss-elden-ring-wiki-guide.jpg,"18,617",,"{'Yelough Anix Tunnel': ['120,000', 'Meteorite of Astel']}",,0,loc_12,0
107,boss_148,"Astel, Stars of Darkness",http://eldenring.wiki.fextralife.com/file/Elden-Ring/astel-stars-of-darkness-boss-elden-ring-wiki-guide.jpg,"18,617",,"{'Yelough Anix Tunnel': ['120,000', 'Meteorite of Astel']}",,0,loc_13,0
108,boss_74,Battlemage Hugues,http://eldenring.wiki.fextralife.com/file/Elden-Ring/battlemage-hugues-1-elden-ring-wiki-guide.jpg,"4,095",,"{'Sellia Evergaol': ['7,800', 'Battlemage Hugues Ashes']}","Hugues came from Sellia to study the Haima Conspectus at the academy, where he became a battlemage. Haima scholars seek to quell conflict with cannon fire and the gavel, but Hugues developed a longing for it. ",0,loc_4,0
109,boss_36,Bloodhound Knight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodgound_knight_liurnia_bosses_elden_ring_wiki_300px.jpg,"1,985",,"{'Lakeside Crystal Cave': ['2,700', 'Cerulean Amber Medallion']}","The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life. ",0,loc_2,0
110,boss_37,"Bols, Carian Knight",http://eldenring.wiki.fextralife.com/file/Elden-Ring/bols_carian_knight_bosses_elden_ring_wiki_guide1.jpg,"5,109",,"{""Cuckoo's Evergaol , Liurnia of the Lakes"": ['4,600, Greatblade Phalanx']}",,0,loc_2,0
111,boss_61,Commander O'Neil,http://eldenring.wiki.fextralife.com/file/Elden-Ring/commander_oniel1-min.jpg,"9,210",,"{'Swamp of Aeonia': ['12,000', ""Commander's Standard"", 'Unalloyed Gold Needle']}","Even after his lord was fled, Commander O'Neil continued to brandish his flag in the devastation of the rot-eaten field of battle, the sole veteran who remembers that battle with pride. ",0,loc_3,0
112,boss_128,Commander Niall,http://eldenring.wiki.fextralife.com/file/Elden-Ring/capture1-min.jpg,"15,541",,"{'Castle Sol': ['90,000', ""Veteran's Prosthesis""]}","Commander Niall, veteran of Castle Sol, offered his prosthesis in exchange for the lives of defeated knights held prisoner. He went on to lead these men as an army of no nation. ",0,loc_9,0
113,boss_162,Crucible Knight Siluria,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crucible_knight_siluria_elden_ring_wiki_guide_300px.jpg,"4,606",,"{'Deeproot Depths': ['25,000', ""Siluria's Tree""]}",,0,loc_17,0
114,boss_90,Demi-Human Queen Gilika,http://eldenring.wiki.fextralife.com/file/Elden-Ring/queen-gilika-elden-ring-wiki-600px.jpg,"3,284",,"{'Lux Ruins': ['8,500']}",,0,loc_5,0
115,boss_5,Deathbird,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deathbird_elden_ring_wiki_300px.jpg,,,"{""Warmaster's Shack"": ['Runes 2,800 (NG)', 'Runes 700 (NG, Co-op)', 'Other Drops:', 'Blue-Feathered Branchsword'], 'Weeping Peninsula:': ['Runes 3,900 (NG)', 'Runes 975 (NG, Co-op)', 'Other Drops:', 'Sacrificial Axe'], 'Scenic Isle:': ['6,600 Runes (NG)', '? Runes (NG, Co-op Host)', '1,650 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Red-Feathered Branchsword'], 'Capital Outskirts:': ['29,000 (NG)', '63,250 Runes (NG+3)', 'Other Drops:', 'Twinbird Kite Shield']}",The Deathbirds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns. ,0,loc_0,0
115,boss_24,Deathbird,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deathbird_elden_ring_wiki_300px.jpg,,,"{""Warmaster's Shack"": ['Runes 2,800 (NG)', 'Runes 700 (NG, Co-op)', 'Other Drops:', 'Blue-Feathered Branchsword'], 'Weeping Peninsula:': ['Runes 3,900 (NG)', 'Runes 975 (NG, Co-op)', 'Other Drops:', 'Sacrificial Axe'], 'Scenic Isle:': ['6,600 Runes (NG)', '? Runes (NG, Co-op Host)', '1,650 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Red-Feathered Branchsword'], 'Capital Outskirts:': ['29,000 (NG)', '63,250 Runes (NG+3)', 'Other Drops:', 'Twinbird Kite Shield']}",The Deathbirds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns. ,0,loc_1,0
115,boss_43,Deathbird,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deathbird_elden_ring_wiki_300px.jpg,,,"{""Warmaster's Shack"": ['Runes 2,800 (NG)', 'Runes 700 (NG, Co-op)', 'Other Drops:', 'Blue-Feathered Branchsword'], 'Weeping Peninsula:': ['Runes 3,900 (NG)', 'Runes 975 (NG, Co-op)', 'Other Drops:', 'Sacrificial Axe'], 'Scenic Isle:': ['6,600 Runes (NG)', '? Runes (NG, Co-op Host)', '1,650 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Red-Feathered Branchsword'], 'Capital Outskirts:': ['29,000 (NG)', '63,250 Runes (NG+3)', 'Other Drops:', 'Twinbird Kite Shield']}",The Deathbirds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns. ,0,loc_2,0
115,boss_117,Deathbird,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deathbird_elden_ring_wiki_300px.jpg,,,"{""Warmaster's Shack"": ['Runes 2,800 (NG)', 'Runes 700 (NG, Co-op)', 'Other Drops:', 'Blue-Feathered Branchsword'], 'Weeping Peninsula:': ['Runes 3,900 (NG)', 'Runes 975 (NG, Co-op)', 'Other Drops:', 'Sacrificial Axe'], 'Scenic Isle:': ['6,600 Runes (NG)', '? Runes (NG, Co-op Host)', '1,650 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Red-Feathered Branchsword'], 'Capital Outskirts:': ['29,000 (NG)', '63,250 Runes (NG+3)', 'Other Drops:', 'Twinbird Kite Shield']}",The Deathbirds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns. ,0,loc_7,0
116,boss_91,Elemer of the Briar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/element_of_the_briar_bosses_elden_ring_wiki_guide_300px.jpg,"4,897",,"{'The Shaded Castle': ['24,000 Runes (NG)', '18,000 Runes (NG, Co-op Host)', '6,000 Runes (NG, Co-op Phantom)', ""Marais Executioner's Sword"", 'Briar Greatshield']}","Elemer of the Briar, the Bell Bearing Hunter, snatched the sword from the site of his looming execution, and furnished it with battle skills from his home of Eochaid ",0,loc_5,0
117,,Golem,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golem_hostile_humanoids_elden_ring_wiki_guide_300px.jpg,,,"{'Stormhill Castle Morne Ainsel River Well Leyndell, Royal Capital Mountaintops of the Giants': [""844 - 3927 Runes Golem's Halberd Golem Greatbow Great Arrow Golem's Great Arrow Golem's Magic Arrow Smithing Stones""]}",,0,,
118,boss_66,Fallingstar Beast,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fallingstar_beast_altus_plateau_enemies_elden_ring_wiki_300px.jpg,,,"{'Sellia Crystal Tunnel': ['7,600', ""Somberstone Miner's Bell Bearing (1)"", 'Smithing Stone (7) x5', 'Somber Smithing Stone (6)', 'Gravity Stone Chunk x4'], 'Altus Plateau:': ['11,000', 'Somber Smithing Stone (5)', 'Smithing Stone (6) x5', 'Gravity Stone Fan', 'Gravity Stone Chunk'], 'Finger Ruins of Dheo:': ['170,000', 'Gravitational Missile']}",,0,loc_3,0
118,boss_93,Fallingstar Beast,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fallingstar_beast_altus_plateau_enemies_elden_ring_wiki_300px.jpg,,,"{'Sellia Crystal Tunnel': ['7,600', ""Somberstone Miner's Bell Bearing (1)"", 'Smithing Stone (7) x5', 'Somber Smithing Stone (6)', 'Gravity Stone Chunk x4'], 'Altus Plateau:': ['11,000', 'Somber Smithing Stone (5)', 'Smithing Stone (6) x5', 'Gravity Stone Fan', 'Gravity Stone Chunk'], 'Finger Ruins of Dheo:': ['170,000', 'Gravitational Missile']}",,0,loc_5,0
118,boss_207,Fallingstar Beast,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fallingstar_beast_altus_plateau_enemies_elden_ring_wiki_300px.jpg,,,"{'Sellia Crystal Tunnel': ['7,600', ""Somberstone Miner's Bell Bearing (1)"", 'Smithing Stone (7) x5', 'Somber Smithing Stone (6)', 'Gravity Stone Chunk x4'], 'Altus Plateau:': ['11,000', 'Somber Smithing Stone (5)', 'Smithing Stone (6) x5', 'Gravity Stone Fan', 'Gravity Stone Chunk'], 'Finger Ruins of Dheo:': ['170,000', 'Gravitational Missile']}",,0,loc_28,1
119,boss_163,Fia's Champions,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fias-champion-1-elden-ring-wiki-guide.jpg,,,"{'Deeproot Depths': ['40,000', ""Fia's Mist""]}",,0,loc_17,0
120,boss_79,Flying Dragon Greyll,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flying_dragon_greyll_bosses_elden_ring_wiki_guide_300px.jpg,"11,500",,"{'Dragonbarrow': ['80,000, Dragon Heart']}",,0,loc_4,0
121,boss_67,Frenzied Duelist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frenzied-duelist-axe-elden-ring-wiki-guide-300px.jpg,"3,079",,"{'Gaol Cave': ['6,700', 'Putrid Corpse Ashes']}",,0,loc_3,0
122,boss_48,Glintstone Dragon Smarag,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone-dragon-smarag-boss-elden-ring-wiki-guide.jpg,"6,069",,"{'Liurnia of the Lakes': ['14,000, Dragon Heart']}","Smarag was a devourer of sorcerers, and over time, his body became corrupted by their glintstones. ",0,loc_2,0
123,boss_10999,God-Devouring Serpent,http://eldenring.wiki.fextralife.com/file/Elden-Ring/god-devouring-serpent-elden-ring-wiki-guide1-min.jpg,30439,,"{'Mt. Gelmir': ['Volcano Manor :', '130,000 Runes', ""Rykard's Great Rune"", 'Remembrance of the Blasphemous']}","The great serpent of Mt. Gelmir that swallowed Praetor Rykard. Attacks with poisonous spit, bites, and slams. ",0,,
124,boss_94,Godefroy The Grafted,http://eldenring.wiki.fextralife.com/file/Elden-Ring/goderoy-the-grafted-boss-elden-ring.jpg,12419,,"{'Golden Lineage Evergaol': ['26,000, Godfrey Icon 78,000, Godfrey Icon (NG+1)']}",,0,loc_5,0
125,,"Godfrey, First Elden Lord (Golden Shade)",http://eldenring.wiki.fextralife.com/file/Elden-Ring/godfrey_golden_shade_bosses_elden_ring_wiki_guide1-min.jpg,7099,,"{'Leyndell, Royal Capital': ['80,000', 'Talisman Pouch (NG Only)']}",,0,,
126,boss_80,Godskin Apostle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/apostle1-min.jpg,7528,,"{'Dominula, Windmill Village': ['14,000', 'Godskin Peeler', 'Scouring Black Flame'], 'Divine Tower of Caelid:': ['94,000', 'Godskin Apostle Set']}","The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away. ",0,loc_4,0
126,boss_95,Godskin Apostle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/apostle1-min.jpg,7528,,"{'Dominula, Windmill Village': ['14,000', 'Godskin Peeler', 'Scouring Black Flame'], 'Divine Tower of Caelid:': ['94,000', 'Godskin Apostle Set']}","The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away. ",0,loc_5,0
127,boss_110,Godskin Noble,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godskin_noble_elden_ring_wiki_600px.jpg,10060,,"{'Volcano Manor': ['50,000', ""Serpent's Amnion"", 'Godskin Stitcher', 'Noble Presence'], 'Divine Tower of Liurnia:': ['4.810', 'Godskin Noble Set']}","Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form. ",0,loc_6,0
128,boss_143,Great Wyrm Theodorix,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_wyrm_theodorix_elden_ring_wiki_guide_300px.jpg,"25,649",,"{'Consecrated Snowfield': ['180,000 Runes (NG)', '135,000 Runes (NG, Co-op Host)', '45,000 Runes (NG, Co-op Phantom)', 'Dragon Heart x3']}",The name of the ancient troll warrior Theodorix lives on — as a hero of the War against the Giants. ,0,loc_12,0
128,boss_150,Great Wyrm Theodorix,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_wyrm_theodorix_elden_ring_wiki_guide_300px.jpg,"25,649",,"{'Consecrated Snowfield': ['180,000 Runes (NG)', '135,000 Runes (NG, Co-op Host)', '45,000 Runes (NG, Co-op Phantom)', 'Dragon Heart x3']}",The name of the ancient troll warrior Theodorix lives on — as a hero of the War against the Giants. ,0,loc_13,0
129,boss_12,Guardian Golem,http://eldenring.wiki.fextralife.com/file/Elden-Ring/guardian-golem-field-boss-elden-ring-wiki-guide.jpg,"5,974",,"{'Highroad Cave': ['1,700 Runes (NG)', '600 Runes (NG, Co-op)', 'Blue Dancer Charm']}","One of the many constructs found across the Lands Between. It wields a large halberd to attack, along with being able to breath fire on anything below it. ",0,loc_0,0
130,boss_111,Kindred of Rot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/miner_prawn_enemies_elden_ring_wiki_300px.jpg,"2,034","2,034 each","{'Seethewater Cave': ['10,000', ""Kindred of Rot's Exultation""]}",,0,,
131,boss_301,Lion Guardian,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lion_guardian_enemies_elden_ring_wiki_600px.jpg,2000,"2,119 - 7,019 HP","{'Stormveil Castle Fort Gael (Caelid) Redmane Castle Castle Sol Leyndell, Royal Capital': ['Stormveil Castle :', '1138 Runes', 'Somber Smithing Stone [1]', 'Beast Blood', 'Old Fang x2']}",,0,,
132,boss_148,"Loretta, Knight of the Haligtree",http://eldenring.wiki.fextralife.com/file/Elden-Ring/loretta-knight-of-the-haligtree-1-elden-ring-wiki-guide.jpg,"13,397",,"{""Miquella's Haligtree"": ['200,000', ""Loretta's Mastery"", ""Loretta's War Sickle""]}","Loretta, once a royal Carian Knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation. ",0,,
133,boss_69,Magma Wyrm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magma_wyrm_bosses_elden_ring_wiki_guide1-min.jpg,7141,,"{'Gael Tunnel': ['7,500', 'Dragon Heart', 'Moonveil'], 'Fort Laiedd:': ['19,000', 'Dragon Heart'], 'Volcano Manor': ['5,044', 'Other Drops:', 'Dragon Heart'], ""Dragon's Pit"": ['7,718', 'Dragon Heart', 'Ancient Dragon Smithing Stone']}","Those who have performed the Dragon Communion will find their humanity slowly slipping away. Once they fully succumb to their fate, they are left no more than wyrms that crawl the earth. ",0,loc_3,0
134,boss_49,MAGMA WYRM MAKAR,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magma-wyrm-3-elden-ring-wiki-guide.jpg,7141,,"{'Ruin-Strewn Precipice': ['24,000 Runes (NG)', '6000 Runes (NG, Co-op) Other Drops:', ""Magma Wyrm's Scalesword"", 'Dragon Heart']}","It's said these land-bound dragons were once human heroes who partook in dragon communion, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves. ",0,,
135,boss_28,Miranda The Blighted Bloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/miranda-the-blighted-bloom-field-boss-elden-ring-wiki-guide-300px.jpg,"2,483",,"{'Tombsward Cave': ['Runes 2,100 (NG)', 'Runes 525 (NG, Co-op)', 'Viridian Amber Medallion']}","Miranda, maiden of the Flower Crucible is said to have been the very first of this breed. ",0,,
136,boss_144,Misbegotten Crusader,http://eldenring.wiki.fextralife.com/file/Elden-Ring/misbegotten-crusader-elden-ring-wiki-guide-300px.jpeg,"9,130",,"{'Cave of the Forlorn': ['93,000', 'Golden Order Greatsword']}",,0,loc_12,0
136,boss_151,Misbegotten Crusader,http://eldenring.wiki.fextralife.com/file/Elden-Ring/misbegotten-crusader-elden-ring-wiki-guide-300px.jpeg,"9,130",,"{'Cave of the Forlorn': ['93,000', 'Golden Order Greatsword']}",,0,loc_13,0
137,boss_62,Misbegotten Warrior,http://eldenring.wiki.fextralife.com/file/Elden-Ring/misbegotten_warrior_enemies_elden_ring_wiki_300px.jpg,3560,,"{'Unsightly Catacombs': ['Unsightly Catacombs :', '9400 Runes', 'Perfumer Tricia Ashes Redmane Castle :', '16000 Runes', 'Ruins Greatsword']}","A Vicious beast that has lost all reason, attacking indiscriminately. ",0,,
